review,sentiment
./train/944803.txt,1
./train/786301.txt,1
./train/260393.txt,0
./train/726647.txt,0
./train/542605.txt,1
./train/877419.txt,1
./train/700248.txt,1
./train/303193.txt,1
./train/766881.txt,0
./train/027145.txt,0
./train/448023.txt,1
./train/938491.txt,1
./train/543047.txt,0
./train/062367.txt,0
./train/118007.txt,0
./train/705540.txt,1
./train/649624.txt,1
./train/054641.txt,1
./train/695296.txt,1
./train/386820.txt,1
./train/200303.txt,0
./train/802645.txt,1
./train/460607.txt,0
./train/398625.txt,0
./train/236846.txt,1
./train/220435.txt,0
./train/670019.txt,0
./train/464393.txt,1
./train/048517.txt,0
./train/014894.txt,1
./train/867273.txt,1
./train/096557.txt,1
./train/361724.txt,0
./train/749803.txt,0
./train/413632.txt,1
./train/470098.txt,1
./train/766154.txt,0
./train/366381.txt,1
./train/105966.txt,0
./train/630478.txt,0
./train/106280.txt,1
./train/864534.txt,1
./train/000544.txt,0
./train/929867.txt,0
./train/709344.txt,0
./train/813687.txt,0
./train/884552.txt,1
./train/599064.txt,1
./train/404588.txt,1
./train/329299.txt,0
./train/221757.txt,0
./train/727082.txt,0
./train/532758.txt,0
./train/792702.txt,0
./train/133446.txt,0
./train/987654.txt,1
./train/600256.txt,0
./train/426942.txt,0
./train/419919.txt,1
./train/288937.txt,0
./train/135461.txt,1
./train/629451.txt,1
./train/077136.txt,0
./train/141931.txt,1
./train/376951.txt,0
./train/917566.txt,0
./train/665174.txt,1
./train/436931.txt,0
./train/549821.txt,0
./train/390503.txt,1
./train/490707.txt,1
./train/033383.txt,0
./train/188915.txt,0
./train/802836.txt,0
./train/830547.txt,1
./train/276704.txt,1
./train/328867.txt,0
./train/875902.txt,1
./train/436193.txt,1
./train/255667.txt,0
./train/632305.txt,1
./train/080945.txt,0
./train/787187.txt,1
./train/539601.txt,0
./train/112660.txt,0
./train/990782.txt,1
./train/863225.txt,1
./train/378397.txt,0
./train/401096.txt,0
./train/830591.txt,1
./train/894461.txt,1
./train/946984.txt,0
./train/951965.txt,1
./train/570296.txt,0
./train/126201.txt,1
./train/692406.txt,0
./train/107719.txt,0
./train/673511.txt,1
./train/197742.txt,0
./train/947656.txt,1
./train/015836.txt,0
./train/482690.txt,1
./train/072700.txt,1
./train/418023.txt,0
./train/706847.txt,1
./train/867663.txt,1
./train/229222.txt,1
./train/261949.txt,1
./train/760197.txt,0
./train/517151.txt,0
./train/977022.txt,0
./train/535955.txt,0
./train/976230.txt,0
./train/130430.txt,1
./train/050840.txt,1
./train/293848.txt,1
./train/491924.txt,0
./train/117541.txt,1
./train/313919.txt,0
./train/653228.txt,1
./train/143999.txt,0
./train/296692.txt,1
./train/433989.txt,0
./train/184834.txt,0
./train/717415.txt,1
./train/817971.txt,0
./train/204217.txt,1
./train/227439.txt,1
./train/060302.txt,1
./train/420521.txt,1
./train/261622.txt,1
./train/904509.txt,1
./train/326247.txt,0
./train/371432.txt,1
./train/485434.txt,0
./train/471263.txt,0
./train/446214.txt,0
./train/716822.txt,1
./train/800474.txt,1
./train/092238.txt,0
./train/849098.txt,0
./train/675954.txt,1
./train/376617.txt,0
./train/688132.txt,1
./train/698351.txt,0
./train/549513.txt,1
./train/306592.txt,1
./train/617548.txt,1
./train/828661.txt,0
./train/768553.txt,0
./train/545608.txt,1
./train/951324.txt,1
./train/637974.txt,1
./train/287059.txt,1
./train/545623.txt,1
./train/271424.txt,0
./train/094105.txt,1
./train/584023.txt,0
./train/351505.txt,0
./train/290490.txt,0
./train/499804.txt,0
./train/243030.txt,1
./train/403970.txt,0
./train/013362.txt,1
./train/750789.txt,1
./train/002341.txt,1
./train/324128.txt,0
./train/073655.txt,1
./train/246310.txt,1
./train/779820.txt,1
./train/283796.txt,1
./train/053951.txt,0
./train/347054.txt,0
./train/405488.txt,0
./train/415555.txt,0
./train/906320.txt,0
./train/958289.txt,0
./train/678395.txt,0
./train/477253.txt,0
./train/013437.txt,0
./train/316169.txt,0
./train/513992.txt,1
./train/685366.txt,1
./train/337675.txt,1
./train/293320.txt,0
./train/797351.txt,1
./train/716063.txt,0
./train/640619.txt,1
./train/542654.txt,0
./train/790481.txt,0
./train/493036.txt,1
./train/919831.txt,0
./train/312659.txt,0
./train/840228.txt,1
./train/674106.txt,1
./train/683125.txt,1
./train/815723.txt,0
./train/591573.txt,1
./train/510651.txt,0
./train/022620.txt,1
./train/101966.txt,1
./train/200665.txt,0
./train/793842.txt,0
./train/647099.txt,1
./train/523611.txt,1
./train/101184.txt,1
